FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI+Dyn GoldSetMethodID Rank - All Ranks	LSI+Dyn GoldSetMethodID Rank - Best Rank
950961	685	org.gjt.sp.jedit.buffer.BufferAdapter.preContentInserted(JEditBuffer,int,int,int,int)	151	2
 	705	org.gjt.sp.jedit.buffer.BufferChangeListener.Adapter.preContentInserted(JEditBuffer,int,int,int,int)		
 	2965	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldLevelChanged(int,int)	32	
 	2966	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentInserted(int,int,int,int)	437	
 	2967	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentRemoved(int,int,int,int)	426	
 	2968	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentInserted(int,int,int,int)	389	
 	2969	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentRemoved(int,int,int,int)	384	
 	2974	org.gjt.sp.jedit.buffer.JEditBuffer.fireTransactionComplete()	740	
 	2975	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldHandlerChanged()		
 	2976	org.gjt.sp.jedit.buffer.JEditBuffer.fireBufferLoaded()		
 	2979	org.gjt.sp.jedit.buffer.JEditBuffer.loadText(Segment,IntegerArray)		
 	2985	org.gjt.sp.jedit.buffer.JEditBuffer.contentInserted(int,int,IntegerArray)	202	
 	716	org.gjt.sp.jedit.textarea.BufferHandler.contentInserted(JEditBuffer,int,int,int,int)	46	
 	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	36	
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	37	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	2	
 	719	org.gjt.sp.jedit.textarea.BufferHandler.contentRemoved(JEditBuffer,int,int,int,int)	52	
 	4501	org.gjt.sp.jedit.textarea.RangeMap.RangeMap(RangeMap)		
 	4507	org.gjt.sp.jedit.textarea.RangeMap.put(int,int,int[])	170	
 	4514	org.gjt.sp.jedit.textarea.RangeMap.dump()	71	
981012	904	org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)	130	130
1193683	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	46	3
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	66	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	3	
1292706	2043	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)	87	33
 	2049	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)	33	
1382388	3511	org.gjt.sp.jedit.Mode.Mode(String)		39
 	3520	org.gjt.sp.jedit.Mode.setProperties(Map)	845	
 	3526	org.gjt.sp.jedit.Mode.getIgnoreWhitespace()	1423	
 	3529	org.gjt.sp.jedit.Mode.initIndentRules()	127	
 	2887	org.gjt.sp.jedit.buffer.JEditBuffer.getPriorNonEmptyLine(int)	205	
