FeatureID	GoldSet MethodID Position	GoldSetMethodID	VSM+Dyn GoldSetMethodID Rank - All Ranks	VSM+Dyn GoldSetMethodID Rank - Best Rank
950961	685	org.gjt.sp.jedit.buffer.BufferAdapter.preContentInserted(JEditBuffer,int,int,int,int)	131	7
 	705	org.gjt.sp.jedit.buffer.BufferChangeListener.Adapter.preContentInserted(JEditBuffer,int,int,int,int)		
 	2965	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldLevelChanged(int,int)	36	
 	2966	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentInserted(int,int,int,int)	250	
 	2967	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentRemoved(int,int,int,int)	245	
 	2968	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentInserted(int,int,int,int)	252	
 	2969	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentRemoved(int,int,int,int)	247	
 	2974	org.gjt.sp.jedit.buffer.JEditBuffer.fireTransactionComplete()	430	
 	2975	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldHandlerChanged()		
 	2976	org.gjt.sp.jedit.buffer.JEditBuffer.fireBufferLoaded()		
 	2979	org.gjt.sp.jedit.buffer.JEditBuffer.loadText(Segment,IntegerArray)		
 	2985	org.gjt.sp.jedit.buffer.JEditBuffer.contentInserted(int,int,IntegerArray)	178	
 	716	org.gjt.sp.jedit.textarea.BufferHandler.contentInserted(JEditBuffer,int,int,int,int)	41	
 	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	31	
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	32	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	7	
 	719	org.gjt.sp.jedit.textarea.BufferHandler.contentRemoved(JEditBuffer,int,int,int,int)	43	
 	4501	org.gjt.sp.jedit.textarea.RangeMap.RangeMap(RangeMap)		
 	4507	org.gjt.sp.jedit.textarea.RangeMap.put(int,int,int[])	242	
 	4514	org.gjt.sp.jedit.textarea.RangeMap.dump()	103	
981012	904	org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)	84	84
1193683	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	45	15
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	63	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	15	
1292706	2043	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)	187	45
 	2049	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)	45	
1382388	3511	org.gjt.sp.jedit.Mode.Mode(String)		49
 	3520	org.gjt.sp.jedit.Mode.setProperties(Map)	476	
 	3526	org.gjt.sp.jedit.Mode.getIgnoreWhitespace()	1004	
 	3529	org.gjt.sp.jedit.Mode.initIndentRules()	211	
 	2887	org.gjt.sp.jedit.buffer.JEditBuffer.getPriorNonEmptyLine(int)	167	
 	2911	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char)	393	
 	2415	org.gjt.sp.jedit.indent.IndentAction.NoIncrease.calculateIndent(JEditBuffer,int,int,int)	49	
 	2416	org.gjt.sp.jedit.indent.IndentAction.NoIncrease.keepChecking()	922	
 	6072	org.gjt.sp.jedit.indent.WhitespaceRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	154	
1500938	4767	org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)	7	3
 	4768	org.gjt.sp.jedit.search.SearchDialog.setSearchString(String,int)	3	
1520769	204	org.gjt.sp.jedit.Autosave.actionPerformed(ActionEvent)	4	2
 	620	org.gjt.sp.jedit.Buffer.removeAutosaveFile()		
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	3	
 	4689	org.gjt.sp.jedit.options.SaveBackupOptionPane._save()	2	
1520774	3506	org.gjt.sp.jedit.MiscUtilities.getPathStart(String)	64	64
1533473	1555	org.gjt.sp.jedit.EditPane.saveCaretInfo()	129	54
 	1556	org.gjt.sp.jedit.EditPane.loadCaretInfo()	54	
1536064	2054	org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)	60	60
1538051	2776	org.gjt.sp.jedit.jEdit.showMemoryDialog(View)	2	2
 	5012	org.gjt.sp.jedit.gui.StatusBar.propertiesChanged()	377	
 	5015	org.gjt.sp.jedit.gui.StatusBar.statusUpdate(WorkThreadPool,int)	207	
 	5021	org.gjt.sp.jedit.gui.StatusBar.updateBufferStatus()	1204	
 	-1	org.gjt.sp.jedit.gui.StatusBar.MemoryStatus.getToolTipText()		
 	-1	org.gjt.sp.jedit.gui.StatusBar.MemoryStatus.paintComponent(Graphics)		
1538702	2042	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,Container,String)	161	1
 	2043	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)	179	
 	2049	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)	206	
 	2050	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,Container,String)	186	
 	-1	org.gjt.sp.jedit.GUIUtilities.addSizeSaver(Window,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.addSizeSaver(Window,Container,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Window,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Window,Container,String)		
 	2077	org.gjt.sp.jedit.GUIUtilities.SizeSaver.windowStateChanged(WindowEvent)		
 	2080	org.gjt.sp.jedit.GUIUtilities.SizeSaver.componentMoved(ComponentEvent)	513	
 	-1	org.gjt.sp.jedit.PluginJAR.load(boolean)		
 	4266	org.gjt.sp.jedit.PluginJAR.load(String,boolean)	24	
 	4268	org.gjt.sp.jedit.PluginJAR.findPlugin(String)		
 	4269	org.gjt.sp.jedit.PluginJAR.containsClass(String)		
 	-1	org.gjt.sp.jedit.PluginJAR.jarCompare(String,String)		
 	-1	org.gjt.sp.jedit.PluginJAR.loadDependencies(String)		
 	4278	org.gjt.sp.jedit.PluginJAR.checkDependencies()	2	
 	-1	org.gjt.sp.jedit.PluginJAR.transitiveClosure(Set<String>,Set<String>)		
 	4281	org.gjt.sp.jedit.PluginJAR.transitiveClosure(String[],List<String>)		
 	4282	org.gjt.sp.jedit.PluginJAR.getDependentPlugins()		
 	4285	org.gjt.sp.jedit.PluginJAR.activatePluginIfNecessary()	1	
 	4293	org.gjt.sp.jedit.PluginJAR.init()	43	
 	6027	org.gjt.sp.jedit.View.View(Buffer,ViewConfig)		
 	1694	org.gjt.sp.jedit.gui.ErrorListDialog.ActionHandler.actionPerformed(ActionEvent)		
