FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI GoldSetMethodID Rank - All Ranks	LSI GoldSetMethodID Rank - Best Rank
950961	685	org.gjt.sp.jedit.buffer.BufferAdapter.preContentInserted(JEditBuffer,int,int,int,int)	535	10
 	705	org.gjt.sp.jedit.buffer.BufferChangeListener.Adapter.preContentInserted(JEditBuffer,int,int,int,int)	536	
 	2965	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldLevelChanged(int,int)	99	
 	2966	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentInserted(int,int,int,int)	2292	
 	2967	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentRemoved(int,int,int,int)	2243	
 	2968	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentInserted(int,int,int,int)	1959	
 	2969	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentRemoved(int,int,int,int)	1918	
 	2974	org.gjt.sp.jedit.buffer.JEditBuffer.fireTransactionComplete()	4564	
 	2975	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldHandlerChanged()	104	
 	2976	org.gjt.sp.jedit.buffer.JEditBuffer.fireBufferLoaded()	5841	
 	2979	org.gjt.sp.jedit.buffer.JEditBuffer.loadText(Segment,IntegerArray)	1305	
 	2985	org.gjt.sp.jedit.buffer.JEditBuffer.contentInserted(int,int,IntegerArray)	816	
 	716	org.gjt.sp.jedit.textarea.BufferHandler.contentInserted(JEditBuffer,int,int,int,int)	146	
 	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	108	
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	109	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	10	
 	719	org.gjt.sp.jedit.textarea.BufferHandler.contentRemoved(JEditBuffer,int,int,int,int)	161	
 	4501	org.gjt.sp.jedit.textarea.RangeMap.RangeMap(RangeMap)	6175	
 	4507	org.gjt.sp.jedit.textarea.RangeMap.put(int,int,int[])	656	
 	4514	org.gjt.sp.jedit.textarea.RangeMap.dump()	247	
981012	904	org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)	946	946
1193683	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	198	15
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	263	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	15	
1292706	2043	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)	731	263
 	2049	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)	263	
1382388	3511	org.gjt.sp.jedit.Mode.Mode(String)	6107	294
 	3520	org.gjt.sp.jedit.Mode.setProperties(Map)	4089	
 	3526	org.gjt.sp.jedit.Mode.getIgnoreWhitespace()	6366	
 	3529	org.gjt.sp.jedit.Mode.initIndentRules()	708	
 	2887	org.gjt.sp.jedit.buffer.JEditBuffer.getPriorNonEmptyLine(int)	1050	
 	2911	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char)	1269	
 	2415	org.gjt.sp.jedit.indent.IndentAction.NoIncrease.calculateIndent(JEditBuffer,int,int,int)	294	
 	2416	org.gjt.sp.jedit.indent.IndentAction.NoIncrease.keepChecking()	5914	
 	6072	org.gjt.sp.jedit.indent.WhitespaceRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	581	
1500938	4767	org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)	26	12
 	4768	org.gjt.sp.jedit.search.SearchDialog.setSearchString(String,int)	12	
1520769	204	org.gjt.sp.jedit.Autosave.actionPerformed(ActionEvent)	39	13
 	620	org.gjt.sp.jedit.Buffer.removeAutosaveFile()	18	
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	20	
 	4689	org.gjt.sp.jedit.options.SaveBackupOptionPane._save()	13	
1520774	3506	org.gjt.sp.jedit.MiscUtilities.getPathStart(String)	418	418
1533473	1555	org.gjt.sp.jedit.EditPane.saveCaretInfo()	342	167
 	1556	org.gjt.sp.jedit.EditPane.loadCaretInfo()	167	
1536064	2054	org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)	262	262
1538051	2776	org.gjt.sp.jedit.jEdit.showMemoryDialog(View)	1	1
 	5012	org.gjt.sp.jedit.gui.StatusBar.propertiesChanged()	3786	
 	5015	org.gjt.sp.jedit.gui.StatusBar.statusUpdate(WorkThreadPool,int)	1375	
 	5021	org.gjt.sp.jedit.gui.StatusBar.updateBufferStatus()	2771	
 	-1	org.gjt.sp.jedit.gui.StatusBar.MemoryStatus.getToolTipText()		
 	-1	org.gjt.sp.jedit.gui.StatusBar.MemoryStatus.paintComponent(Graphics)		
1538702	2042	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,Container,String)	1226	1
 	2043	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)	799	
 	2049	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)	1217	
 	2050	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,Container,String)	1682	
 	-1	org.gjt.sp.jedit.GUIUtilities.addSizeSaver(Window,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.addSizeSaver(Window,Container,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Window,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Window,Container,String)		
 	2077	org.gjt.sp.jedit.GUIUtilities.SizeSaver.windowStateChanged(WindowEvent)	1288	
 	2080	org.gjt.sp.jedit.GUIUtilities.SizeSaver.componentMoved(ComponentEvent)	4802	
 	-1	org.gjt.sp.jedit.PluginJAR.load(boolean)		
 	4266	org.gjt.sp.jedit.PluginJAR.load(String,boolean)	131	
 	4268	org.gjt.sp.jedit.PluginJAR.findPlugin(String)	37	
 	4269	org.gjt.sp.jedit.PluginJAR.containsClass(String)	6160	
 	-1	org.gjt.sp.jedit.PluginJAR.jarCompare(String,String)		
 	-1	org.gjt.sp.jedit.PluginJAR.loadDependencies(String)		
 	4278	org.gjt.sp.jedit.PluginJAR.checkDependencies()	4	
 	-1	org.gjt.sp.jedit.PluginJAR.transitiveClosure(Set<String>,Set<String>)		
 	4281	org.gjt.sp.jedit.PluginJAR.transitiveClosure(String[],List<String>)	100	
 	4282	org.gjt.sp.jedit.PluginJAR.getDependentPlugins()	87	
 	4285	org.gjt.sp.jedit.PluginJAR.activatePluginIfNecessary()	1	
 	4293	org.gjt.sp.jedit.PluginJAR.init()	174	
 	6027	org.gjt.sp.jedit.View.View(Buffer,ViewConfig)	641	
 	1694	org.gjt.sp.jedit.gui.ErrorListDialog.ActionHandler.actionPerformed(ActionEvent)	113	
