FeatureID	GoldSet MethodID Position	GoldSetMethodID	VSM GoldSetMethodID Rank - All Ranks	VSM GoldSetMethodID Rank - Best Rank
950961	685	org.gjt.sp.jedit.buffer.BufferAdapter.preContentInserted(JEditBuffer,int,int,int,int)	477	18
 	705	org.gjt.sp.jedit.buffer.BufferChangeListener.Adapter.preContentInserted(JEditBuffer,int,int,int,int)	478	
 	2965	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldLevelChanged(int,int)	127	
 	2966	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentInserted(int,int,int,int)	1010	
 	2967	org.gjt.sp.jedit.buffer.JEditBuffer.fireContentRemoved(int,int,int,int)	995	
 	2968	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentInserted(int,int,int,int)	1018	
 	2969	org.gjt.sp.jedit.buffer.JEditBuffer.firePreContentRemoved(int,int,int,int)	1001	
 	2974	org.gjt.sp.jedit.buffer.JEditBuffer.fireTransactionComplete()	2376	
 	2975	org.gjt.sp.jedit.buffer.JEditBuffer.fireFoldHandlerChanged()	129	
 	2976	org.gjt.sp.jedit.buffer.JEditBuffer.fireBufferLoaded()	3595	
 	2979	org.gjt.sp.jedit.buffer.JEditBuffer.loadText(Segment,IntegerArray)	984	
 	2985	org.gjt.sp.jedit.buffer.JEditBuffer.contentInserted(int,int,IntegerArray)	689	
 	716	org.gjt.sp.jedit.textarea.BufferHandler.contentInserted(JEditBuffer,int,int,int,int)	143	
 	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	109	
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	110	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	18	
 	719	org.gjt.sp.jedit.textarea.BufferHandler.contentRemoved(JEditBuffer,int,int,int,int)	149	
 	4501	org.gjt.sp.jedit.textarea.RangeMap.RangeMap(RangeMap)	5916	
 	4507	org.gjt.sp.jedit.textarea.RangeMap.put(int,int,int[])	988	
 	4514	org.gjt.sp.jedit.textarea.RangeMap.dump()	388	
981012	904	org.gjt.sp.jedit.syntax.Chunk.init(Segment,TabExpander,float,FontRenderContext)	682	682
1193683	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	215	63
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	283	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	63	
1292706	2043	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)	1557	420
 	2049	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)	420	
1382388	3511	org.gjt.sp.jedit.Mode.Mode(String)	5178	329
 	3520	org.gjt.sp.jedit.Mode.setProperties(Map)	2465	
 	3526	org.gjt.sp.jedit.Mode.getIgnoreWhitespace()	5184	
 	3529	org.gjt.sp.jedit.Mode.initIndentRules()	1074	
 	2887	org.gjt.sp.jedit.buffer.JEditBuffer.getPriorNonEmptyLine(int)	870	
 	2911	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char)	1999	
 	2415	org.gjt.sp.jedit.indent.IndentAction.NoIncrease.calculateIndent(JEditBuffer,int,int,int)	329	
 	2416	org.gjt.sp.jedit.indent.IndentAction.NoIncrease.keepChecking()	4799	
 	6072	org.gjt.sp.jedit.indent.WhitespaceRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	821	
1500938	4767	org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)	20	5
 	4768	org.gjt.sp.jedit.search.SearchDialog.setSearchString(String,int)	5	
1520769	204	org.gjt.sp.jedit.Autosave.actionPerformed(ActionEvent)	31	10
 	620	org.gjt.sp.jedit.Buffer.removeAutosaveFile()	43	
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	13	
 	4689	org.gjt.sp.jedit.options.SaveBackupOptionPane._save()	10	
1520774	3506	org.gjt.sp.jedit.MiscUtilities.getPathStart(String)	358	358
1533473	1555	org.gjt.sp.jedit.EditPane.saveCaretInfo()	376	181
 	1556	org.gjt.sp.jedit.EditPane.loadCaretInfo()	181	
1536064	2054	org.gjt.sp.jedit.GUIUtilities.requestFocus(Window,Component)	370	370
1538051	2776	org.gjt.sp.jedit.jEdit.showMemoryDialog(View)	2	2
 	5012	org.gjt.sp.jedit.gui.StatusBar.propertiesChanged()	1805	
 	5015	org.gjt.sp.jedit.gui.StatusBar.statusUpdate(WorkThreadPool,int)	978	
 	5021	org.gjt.sp.jedit.gui.StatusBar.updateBufferStatus()	5716	
 	-1	org.gjt.sp.jedit.gui.StatusBar.MemoryStatus.getToolTipText()		
 	-1	org.gjt.sp.jedit.gui.StatusBar.MemoryStatus.paintComponent(Graphics)		
1538702	2042	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,Container,String)	871	1
 	2043	org.gjt.sp.jedit.GUIUtilities.loadGeometry(Window,String)	991	
 	2049	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,String)	1170	
 	2050	org.gjt.sp.jedit.GUIUtilities.saveGeometry(Window,Container,String)	1019	
 	-1	org.gjt.sp.jedit.GUIUtilities.addSizeSaver(Window,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.addSizeSaver(Window,Container,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Window,String)		
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Window,Container,String)		
 	2077	org.gjt.sp.jedit.GUIUtilities.SizeSaver.windowStateChanged(WindowEvent)	1152	
 	2080	org.gjt.sp.jedit.GUIUtilities.SizeSaver.componentMoved(ComponentEvent)	4040	
 	-1	org.gjt.sp.jedit.PluginJAR.load(boolean)		
 	4266	org.gjt.sp.jedit.PluginJAR.load(String,boolean)	89	
 	4268	org.gjt.sp.jedit.PluginJAR.findPlugin(String)	140	
 	4269	org.gjt.sp.jedit.PluginJAR.containsClass(String)	5326	
 	-1	org.gjt.sp.jedit.PluginJAR.jarCompare(String,String)		
 	-1	org.gjt.sp.jedit.PluginJAR.loadDependencies(String)		
 	4278	org.gjt.sp.jedit.PluginJAR.checkDependencies()	3	
 	-1	org.gjt.sp.jedit.PluginJAR.transitiveClosure(Set<String>,Set<String>)		
 	4281	org.gjt.sp.jedit.PluginJAR.transitiveClosure(String[],List<String>)	59	
 	4282	org.gjt.sp.jedit.PluginJAR.getDependentPlugins()	127	
 	4285	org.gjt.sp.jedit.PluginJAR.activatePluginIfNecessary()	1	
 	4293	org.gjt.sp.jedit.PluginJAR.init()	143	
 	6027	org.gjt.sp.jedit.View.View(Buffer,ViewConfig)	419	
 	1694	org.gjt.sp.jedit.gui.ErrorListDialog.ActionHandler.actionPerformed(ActionEvent)	63	
 	-1	org.gjt.sp.jedit.gui.FloatingWindowContainer.register(DockableWindowManager.Entry)		
 	2707	org.gjt.sp.jedit.jEdit.getPlugin(String,boolean)	9	
 	2711	org.gjt.sp.jedit.jEdit.addPluginJAR(String)	41	
 	3328	org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanel(PluginManager)	297	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.toggleCurrentRow()		
 	3344	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.setValueAt(Object,int,int)	259	
 	3348	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.unloadPluginJARWithDialog(PluginJAR)	51	
 	3349	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.unloadPluginJAR(PluginJAR)	31	
 	3368	org.gjt.sp.jedit.pluginmgr.ManagePanel.HelpButton.valueChanged(ListSelectionEvent)	291	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyTyped(KeyEvent)		
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyPressed(KeyEvent)		
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyReleased(KeyEvent)		
 	4352	org.gjt.sp.jedit.pluginmgr.PluginManager.showPluginManager(Frame)	97	
 	4356	org.gjt.sp.jedit.pluginmgr.PluginManager.PluginManager(Frame)	50	
 	-1	org.gjt.sp.jedit.pluginmgr.PluginManager.PluginManager()		
 	4357	org.gjt.sp.jedit.pluginmgr.PluginManager.init()	74	
 	4679	org.gjt.sp.jedit.pluginmgr.Roster.Remove.unloadPluginJAR(PluginJAR)	110	
1538743	5590	org.gjt.sp.jedit.options.ToolBarEditDialog.ToolBarEditDialog(Component,DefaultComboBoxModel,ToolBarOptionPane.Button)	93	17
 	5595	org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()	17	
1541009	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)	81	22
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	271	
 	-1	org.gjt.sp.jedit.search.PatternSearchMatcher.isMatchingEOL()		
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	129	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	22	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	53	
 	-1	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,Buffer,SearchMatcher,int,int,boolean)		
 	-1	org.gjt.sp.jedit.search.SearchAndReplace.replaceOne(View,Buffer,SearchMatcher.Match,int,String,boolean)		
 	-1	org.gjt.sp.jedit.search.SearchMatcher.isMatchingEOL()		
1541372	2130	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)	63	63
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.getSelectedText(Selection)		
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold()		
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold(int)		
1542026	2825	org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)	3275	3275
